lat,long,temp,cloudiness,cloudiness_perct,humidity,wind_speed,city,country
55.53,101.05,-5.68,overcast clouds,100,93,9.94,pokosnoye,RU
42.74,124.72,13.18,broken clouds,61,54,8.1,xifeng,CN
-0.58,117.09,28.34,light rain,100,79,0.38,loa janan,ID
67.67,53.09,1.69,overcast clouds,98,96,2.44,naryan-mar,RU
28.22,61.22,10.04,clear sky,0,36,0.78,khash,IR
-33.01,17.94,16.0,scattered clouds,47,87,4.6,saldanha,ZA
63.05,179.32,2.59,overcast clouds,100,84,7.11,beringovskiy,RU
-44.49,171.21,12.78,overcast clouds,99,91,2.24,pareora,NZ
7.98,49.82,23.07,clear sky,9,64,3.27,eyl,SO
-14.47,132.27,36.0,clear sky,1,32,3.1,katherine,AU
38.72,112.76,10.08,clear sky,0,37,1.81,yuanping,CN
41.5,-81.7,15.1,broken clouds,75,51,4.6,cleveland,US
27.48,-99.52,22.0,clear sky,5,56,6.03,nuevo laredo,MX
53.07,105.51,-1.88,overcast clouds,94,94,8.1,bayanday,RU
54.04,19.03,9.27,overcast clouds,99,100,5.75,marienburg,PL
41.54,-8.62,14.57,clear sky,0,72,5.7,barcelos,PT
47.67,-52.73,0.66,broken clouds,75,74,7.7,torbay,CA
20.7,-105.2,25.56,clear sky,5,83,1.5,ixtapa,MX
19.22,-98.81,15.0,few clouds,20,54,2.6,miraflores,MX
5.4,125.46,28.45,moderate rain,100,73,2.94,sarangani,PH
21.32,-158.01,27.72,few clouds,20,69,4.6,ewa beach,US
37.46,-122.43,16.96,clear sky,5,77,2.6,half moon bay,US
-5.36,104.97,27.55,moderate rain,100,71,0.87,pringsewu,ID
27.92,96.17,24.75,clear sky,0,38,0.94,tezu,IN
31.35,27.25,20.0,scattered clouds,40,52,5.1,marsa matruh,EG
68.22,-135.01,-16.53,overcast clouds,100,77,3.6,aklavik,CA
46.15,-122.91,8.8,light rain,90,100,2.1,kelso,US
52.33,124.73,-2.34,scattered clouds,50,89,0.74,tahe,CN
-6.08,145.39,21.17,moderate rain,95,81,1.18,goroka,PG
34.64,-120.46,16.35,clear sky,1,77,2.26,lompoc,US
64.84,-147.72,-13.97,overcast clouds,90,84,1.5,fairbanks,US
67.63,134.63,-29.65,few clouds,16,84,0.65,batagay,RU
5.41,100.34,29.42,few clouds,20,79,1.0,georgetown,MY
41.61,12.51,13.48,broken clouds,75,93,2.1,ardea,IT
-8.1,156.84,29.62,light rain,96,69,2.85,gizo,SB
-23.7,133.88,26.0,broken clouds,75,14,5.7,alice springs,AU
65.82,87.98,-19.99,clear sky,0,86,3.14,turukhansk,RU
-8.75,148.25,28.78,moderate rain,84,83,2.77,popondetta,PG
40.8,-124.16,14.05,broken clouds,80,93,0.45,eureka,US
18.39,42.45,14.5,clear sky,0,93,2.6,faya,SA
-9.43,159.95,31.0,broken clouds,75,66,4.1,honiara,SB
-6.43,39.55,22.28,few clouds,20,94,2.48,sokoni,TZ
13.79,120.98,28.33,clear sky,0,79,0.89,bolo,PH
63.73,8.83,10.0,light intensity drizzle,75,93,12.9,sistranda,NO
56.37,98.35,-6.2,light snow,100,94,6.38,shitkino,RU
-12.74,-60.15,23.93,overcast clouds,100,37,1.53,vilhena,BR
67.47,86.58,-21.18,clear sky,0,87,3.58,igarka,RU
21.5,-158.02,27.55,overcast clouds,90,74,2.6,wahiawa,US
-33.87,151.21,19.27,scattered clouds,36,56,1.34,sydney,AU
61.99,-49.67,-5.36,few clouds,23,87,5.04,paamiut,GL
-20.67,-40.5,23.0,overcast clouds,90,88,2.6,guarapari,BR
-4.32,15.32,23.0,thunderstorm,20,94,2.1,kinshasa,CD
21.39,-158.15,27.66,few clouds,20,69,4.6,nanakuli,US
